1330, "2016/1/1 5:10:56", 23.20
1340, "2016/1/1 5:92:155", 23.16
1350, "2016/1/1 5:33:41", 23.10
1360, "2016/1/1 5:45:4", 23.20
1370, "2016/1/1 5:56:27", nan
1380, "2016/1/1 6:7:50", 23.20
1390, "2016/1/1 6:19:12", 23.20
1400, "2016/1/1 6:30:35", 23.20
1410, "2016/1/1 6:41:58", 23.28
1420, "2016/1/1 6:53:21", 23.20
1430, "2016/1/1 7:4:43", 23.25
1440, "2016/1/1 7:16:6", 23.31
1450, "2016/1/1 7:27:29", 23.31
1460, "2016/1/1 7:38:52", 23.31
1470, "2016/1/24 23:86:119", 23.28
1480, "2016/1/1 8:1:37", 23.31
1490, "2016/1/1 8:13:0", 23.31
1500, "2016/1/1 8:255:255", nan
1510, "2016/1/1 8:35:46", 23.42
1520, "2016/1/1 8:47:8", 23.42
1530, "2016/1/1 8:58:31", 23.41
1540, "2016/1/1 9:9:54", 23.42
1550, "2016/1/1 9:21:17", 23.53
1560, "2016/1/1 9:32:40", nan
1570, "2016/1/1 9:44:3", 23.74
1580, "2016/1/1 9:55:26", 23.74
1590, "2016/1/1 10:6:49", 23.85
1600, "2001/10/52 20:70:11", 23.78
1610, "2016/1/1 10:29:35", 23.74
1620, "2016/1/1 10:40:57", 23.63
1630, "2016/1/255 255:255:255", nan
1640, "2016/1/1 11:3:43", 23.63
1650, "2016/1/1 11:15:6", 23.63
1660, "2016/1/1 11:68:55", 23.66
1670, "2016/1/1 11:37:52", 23.63
1680, "2016/1/1 11:49:15", 23.63
1690, "2016/1/1 12:0:38", nan
1700, "2016/1/1 12:12:0", 23.74
1710, "2016/1/1 12:23:23", 23.74
1720, "2016/1/1 12:34:46", 23.74
1730, "2016/1/1 12:46:9", 23.65
1740, "2016/1/1 12:57:32", 23.74
1750, "2016/1/1 13:8:55", 23.74
1760, "2016/1/1 13:20:18", 23.74
1770, "2016/1/1 13:31:41", 23.74
1780, "2016/1/1 13:43:4", 23.74
1790, "2016/1/28 35:64:231", 23.66
1800, "2016/1/1 14:5:50", 23.75
1810, "2016/1/1 14:17:12", 23.74
1820, "2016/1/1 14:255:255", nan
1830, "2016/1/1 14:39:58", 23.74
1840, "2016/1/1 14:51:21", 23.74
1850, "2016/1/1 15:2:44", 23.78
1860, "2016/1/1 15:14:7", 23.74
1870, "2016/1/1 15:25:30", 23.74
1880, "2016/1/1 15:36:53", nan
1890, "2016/1/1 15:48:16", 23.74
1900, "2016/1/1 15:59:39", 23.74
1910, "2016/1/1 16:11:2", 23.74
1920, "2001/16/56 33:64:231", 23.66
1930, "2016/1/1 16:33:47", 23.74
